SA2_code,y.thyroid.male,sd.thyroid.male,y.thyroid.female,sd.thyroid.female,y.thyroid.persons,sd.thyroid.persons
51096,1,0.05867346938775507,1.01,0.2142857142857143,1,0.05357142857142859
51097,1,0.05612244897959186,1.01,0.1683673469387755,1,0.05102040816326532
51098,1,0.05612244897959186,0.99,0.16071428571428575,1,0.05102040816326532
51099,1,0.07397959183673468,1.01,0.21683673469387754,1,0.06887755102040814
51100,1,0.07653061224489795,1.01,0.22704081632653061,1,0.06632653061224487
51101,1,0.07653061224489795,1.04,0.20153061224489796,1,0.061224489795918394
51102,1,0.06632653061224487,0.98,0.1836734693877551,1,0.05612244897959186
51103,1,0.05357142857142859,0.98,0.1734693877551021,1,0.04846938775510205
51104,1,0.06122448979591834,1,0.18877551020408162,1,0.05612244897959186
51105,1,0.08418367346938775,0.99,0.18622448979591832,1,0.0637755102040816
51107,1,0.07908163265306122,1,0.33418367346938777,1,0.06887755102040814
51108,1,0.05357142857142859,0.98,0.15816326530612249,1,0.05102040816326532
51109,1,0.058673469387755126,0.99,0.19897959183673466,1,0.04846938775510205
51110,1,0.05612244897959186,1.07,0.2066326530612245,1,0.05102040816326532
51112,1,0.0561224489795918,1.02,0.2142857142857143,1,0.05612244897959186
51113,1,0.04846938775510205,1.03,0.18877551020408162,1,0.04846938775510205
51114,1,0.05102040816326532,1.03,0.18877551020408162,1,0.05102040816326532
51115,1,0.06122448979591834,1,0.211734693877551,1,0.05357142857142859
51116,1,0.05867346938775507,1.02,0.18622448979591838,1,0.05867346938775507
51117,1,0.06632653061224487,1.02,0.22704081632653061,1,0.06122448979591834
51118,1,0.07908163265306122,0.98,0.19897959183673466,1.01,0.06632653061224487
51119,1,0.07397959183673468,1.05,0.2780612244897959,1.01,0.05867346938775507
51121,1,0.07142857142857141,0.99,0.19897959183673466,1.01,0.0561224489795918
51122,1,0.07908163265306122,1.02,0.21173469387755103,1.01,0.06122448979591834
51123,1,0.08163265306122448,1,0.17857142857142858,1,0.06887755102040814
51124,1,0.05867346938775507,1.01,0.20408163265306123,1,0.05102040816326532
51125,1,0.07142857142857141,0.97,0.2372448979591837,1,0.06632653061224487
51127,1,0.07653061224489795,0.99,0.22704081632653061,1.01,0.0561224489795918
51128,1,0.06122448979591834,1.01,0.19387755102040816,1,0.04846938775510205
51129,1,0.0637755102040816,1.05,0.23979591836734693,1,0.05102040816326532
51130,1,0.0637755102040816,1.01,0.19387755102040816,1.01,0.05102040816326532
51131,1,0.07142857142857141,1.05,0.28316326530612246,1,0.05867346938775507
51132,1,0.06122448979591834,0.96,0.16836734693877553,1.01,0.04846938775510205
51133,1,0.0561224489795918,0.99,0.2040816326530612,1,0.05357142857142859
51134,1,0.0561224489795918,1.05,0.21938775510204084,1,0.05102040816326532
51135,1,0.05612244897959186,1.01,0.22448979591836737,1,0.05612244897959186
51136,1,0.053571428571428534,1.02,0.20663265306122447,1,0.043367346938775524
51137,1,0.05867346938775507,0.99,0.1683673469387755,1,0.04591836734693879
51138,1,0.06122448979591834,0.98,0.18622448979591832,1,0.04591836734693879
51139,1,0.07397959183673468,1.01,0.24744897959183676,1.01,0.06122448979591834
51140,1,0.0561224489795918,0.98,0.18112244897959182,1,0.04846938775510205
51141,1,0.05102040816326532,1.01,0.16071428571428575,1,0.043367346938775524
51142,1,0.06887755102040814,1.04,0.25255102040816324,1,0.06122448979591834
51143,1,0.04591836734693879,1.02,0.1836734693877551,1,0.043367346938775524
51144,1,0.06632653061224487,0.97,0.17857142857142858,1,0.05102040816326532
51145,1,0.07653061224489795,0.98,0.2678571428571428,1.01,0.07397959183673468
51146,1,0.08928571428571429,1.05,0.34438775510204084,1.01,0.08163265306122448
51147,1,0.07908163265306122,1.03,0.25000000000000006,1.01,0.06632653061224487
51148,1,0.04591836734693879,1,0.15306122448979595,1,0.04591836734693879
51149,1,0.06887755102040814,0.98,0.18877551020408168,1,0.05867346938775507
51150,1,0.0637755102040816,1,0.1887755102040816,1.01,0.05612244897959186
51152,1,0.0637755102040816,1,0.16581632653061223,1.01,0.05102040816326532
51153,1,0.07142857142857141,0.99,0.211734693877551,1,0.0637755102040816
51154,1,0.06632653061224487,0.98,0.20153061224489793,1.01,0.0637755102040816
51155,1,0.06632653061224487,1,0.21428571428571427,1,0.06122448979591834
51156,1,0.06122448979591834,1.02,0.17857142857142858,1,0.05612244897959186
51157,1,0.0637755102040816,1,0.21428571428571427,1,0.06122448979591834
51158,1,0.07142857142857141,0.98,0.2040816326530612,1.01,0.06632653061224487
51159,1,0.0561224489795918,1,0.14285714285714288,1,0.05102040816326532
51160,1,0.0637755102040816,1.01,0.21683673469387754,1.01,0.06122448979591834
51161,1,0.06122448979591834,0.98,0.16326530612244902,1,0.05612244897959186
51162,1,0.05867346938775507,0.99,0.21938775510204084,1,0.05357142857142859
51163,1,0.06632653061224487,1,0.20153061224489793,1.01,0.058673469387755126
51164,1,0.09693877551020408,0.96,0.2448979591836735,1,0.07653061224489795
51165,1,0.08418367346938775,0.97,0.19132653061224492,1,0.06632653061224487
51166,1,0.06887755102040814,0.94,0.18112244897959187,1,0.05867346938775507
51168,1,0.05357142857142859,0.99,0.19642857142857142,1,0.04846938775510205
