SA2_code,y.lung.male,sd.lung.male,y.lung.female,sd.lung.female,y.lung.persons,sd.lung.persons
21090,1,0.08673469387755102,0.99,0.09693877551020405,1,0.06887755102040814
21091,0.95,0.11989795918367346,0.93,0.15306122448979595,0.95,0.10459183673469385
21092,1.07,0.2142857142857143,1.01,0.21428571428571427,1.06,0.18112244897959184
21093,1.01,0.08418367346938775,1.05,0.10204081632653061,1.04,0.06632653061224487
21094,1.04,0.08163265306122448,1,0.08418367346938775,1.03,0.06887755102040814
21095,0.95,0.0739795918367347,1.03,0.09693877551020408,0.97,0.06377551020408166
21096,0.95,0.08163265306122451,1,0.09438775510204081,0.97,0.0688775510204082
21097,1.02,0.08673469387755102,0.99,0.09183673469387751,1,0.06887755102040814
21098,0.99,0.08928571428571429,0.99,0.09438775510204081,0.98,0.07142857142857141
21099,1.01,0.08928571428571429,1,0.09948979591836735,1.01,0.08163265306122448
21100,1.06,0.08673469387755102,1.02,0.09693877551020408,1.06,0.07142857142857141
21101,1.02,0.07653061224489795,1.01,0.08928571428571429,1.03,0.06632653061224487
21102,1.05,0.08928571428571429,0.99,0.08673469387755102,1.03,0.07397959183673468
21103,1.01,0.09948979591836735,0.97,0.11224489795918366,0.98,0.08163265306122448
21104,1.08,0.10204081632653061,1,0.10714285714285715,1.05,0.08673469387755102
21105,0.9,0.0739795918367347,0.93,0.09438775510204078,0.9,0.0663265306122449
21106,0.94,0.07908163265306124,0.91,0.08673469387755105,0.91,0.06887755102040817
21107,0.91,0.06887755102040817,0.96,0.08418367346938772,0.92,0.0586734693877551
21108,0.93,0.061224489795918394,1.01,0.08163265306122448,0.95,0.05357142857142859
21109,0.94,0.09183673469387751,1.03,0.10714285714285715,0.97,0.07142857142857147
21110,0.99,0.10969387755102039,0.97,0.10204081632653059,0.98,0.08418367346938775
21111,1.02,0.07908163265306122,0.94,0.08163265306122451,0.98,0.061224489795918394
21112,0.94,0.07653061224489797,1,0.08673469387755102,0.95,0.06632653061224493
21113,0.9,0.07142857142857144,0.93,0.08418367346938778,0.9,0.061224489795918366
21114,0.91,0.07142857142857144,1.01,0.08928571428571429,0.93,0.06377551020408166
21115,0.94,0.08928571428571426,0.91,0.09183673469387758,0.91,0.0663265306122449
21116,0.88,0.07908163265306124,0.97,0.10459183673469385,0.9,0.06887755102040817
21117,0.93,0.08163265306122451,0.91,0.07908163265306124,0.91,0.06377551020408163
21118,0.89,0.09183673469387758,0.93,0.10459183673469385,0.88,0.08163265306122451
21119,0.89,0.0663265306122449,0.94,0.07653061224489797,0.9,0.0586734693877551
21120,0.92,0.10204081632653059,0.92,0.10969387755102039,0.91,0.08673469387755105
21121,0.93,0.09693877551020405,0.88,0.10714285714285718,0.89,0.0739795918367347
21122,0.85,0.0739795918367347,0.89,0.08928571428571432,0.84,0.06887755102040817
21123,0.93,0.0739795918367347,0.88,0.08673469387755105,0.88,0.06377551020408163
21124,0.93,0.08418367346938778,0.91,0.08673469387755105,0.91,0.0663265306122449
21125,0.88,0.08418367346938778,1.01,0.10204081632653061,0.94,0.07908163265306124
21126,0.86,0.0739795918367347,0.95,0.07908163265306124,0.88,0.06377551020408163
21128,0.85,0.07653061224489797,1.02,0.09948979591836735,0.91,0.0739795918367347
21129,0.9,0.09438775510204085,0.98,0.10714285714285712,0.92,0.08163265306122451
21130,0.88,0.0969387755102041,0.94,0.09693877551020405,0.9,0.08163265306122451
21131,0.92,0.08928571428571432,0.96,0.09438775510204078,0.93,0.0739795918367347
21132,0.89,0.08928571428571432,0.95,0.09693877551020405,0.9,0.07653061224489797
21133,0.89,0.0739795918367347,1.02,0.09693877551020408,0.94,0.0663265306122449
21134,0.87,0.07142857142857144,0.97,0.09438775510204078,0.9,0.061224489795918366
21135,0.88,0.08418367346938778,0.95,0.09693877551020405,0.9,0.0663265306122449
21136,0.89,0.06887755102040817,0.96,0.08163265306122446,0.91,0.0586734693877551
21137,0.86,0.07142857142857144,0.95,0.08418367346938778,0.89,0.06377551020408163
21138,0.86,0.07142857142857144,0.96,0.08418367346938772,0.89,0.061224489795918366
21139,0.9,0.08163265306122451,0.94,0.09438775510204078,0.9,0.0663265306122449
21140,0.94,0.08418367346938772,0.91,0.08928571428571432,0.92,0.07142857142857144
21141,0.96,0.09438775510204078,0.94,0.09948979591836732,0.94,0.0739795918367347
21142,0.95,0.08163265306122446,0.93,0.08673469387755105,0.94,0.06887755102040817
21143,0.96,0.076530612244898,0.94,0.08418367346938778,0.95,0.06377551020408166
21144,0.92,0.06887755102040817,0.94,0.0739795918367347,0.93,0.058673469387755126
21145,0.95,0.07142857142857147,0.95,0.076530612244898,0.95,0.061224489795918394
21146,0.9,0.10204081632653064,1.03,0.13520408163265307,0.96,0.08928571428571426
21147,0.93,0.07908163265306124,0.89,0.07908163265306124,0.9,0.061224489795918366
21148,0.89,0.0663265306122449,0.98,0.07653061224489795,0.92,0.05612244897959183
21149,0.92,0.09183673469387751,0.92,0.0969387755102041,0.91,0.06887755102040817
21150,0.9,0.0739795918367347,0.97,0.08928571428571426,0.93,0.061224489795918366
21151,0.89,0.07653061224489797,0.93,0.08163265306122451,0.9,0.06377551020408163
21152,0.92,0.08418367346938778,0.96,0.09183673469387751,0.92,0.0663265306122449
21153,0.89,0.06377551020408163,0.93,0.07142857142857144,0.89,0.05102040816326529
21154,0.93,0.08418367346938778,0.95,0.09183673469387751,0.93,0.06887755102040817
21155,0.89,0.08163265306122451,0.94,0.08418367346938778,0.91,0.06887755102040817
21156,0.86,0.06887755102040817,0.93,0.08418367346938778,0.86,0.05612244897959183
21157,0.9,0.06887755102040817,0.93,0.08163265306122451,0.89,0.05357142857142856
21158,0.92,0.07142857142857144,0.96,0.07653061224489797,0.92,0.05612244897959183
21159,0.9,0.0739795918367347,0.95,0.08418367346938772,0.91,0.06377551020408163
21160,0.92,0.08163265306122451,0.91,0.09183673469387758,0.9,0.06377551020408163
21161,0.96,0.076530612244898,0.98,0.08673469387755102,0.96,0.06377551020408166
21162,0.97,0.09438775510204078,0.95,0.08928571428571426,0.96,0.0688775510204082
21163,0.99,0.09693877551020408,0.94,0.09438775510204078,0.97,0.07653061224489795
21164,0.93,0.07142857142857144,0.92,0.0739795918367347,0.91,0.0586734693877551
21165,0.93,0.06887755102040817,0.95,0.07653061224489797,0.93,0.05612244897959186
21166,0.89,0.06887755102040817,1,0.09183673469387756,0.93,0.061224489795918394
21167,0.94,0.08163265306122451,0.91,0.08418367346938778,0.91,0.06887755102040817
21168,0.88,0.08418367346938778,1.01,0.10969387755102042,0.91,0.07142857142857144
21169,0.86,0.08673469387755105,1.05,0.10969387755102042,0.94,0.06887755102040817
21170,0.87,0.06887755102040817,0.93,0.07653061224489797,0.88,0.05612244897959183
21171,0.9,0.07908163265306124,1.05,0.10714285714285715,0.94,0.07653061224489797
21172,0.91,0.06887755102040817,1.03,0.08673469387755102,0.95,0.0688775510204082
21173,0.9,0.08928571428571432,1.1,0.1377551020408163,0.95,0.08673469387755099
21174,0.93,0.08418367346938778,0.94,0.08418367346938778,0.93,0.06377551020408163
21175,0.93,0.058673469387755126,1.04,0.08673469387755102,0.98,0.058673469387755126
21176,0.92,0.07653061224489797,1,0.09693877551020408,0.96,0.06377551020408166
21177,0.9,0.06377551020408163,0.91,0.06887755102040817,0.89,0.05102040816326529
21178,0.81,0.07142857142857141,0.91,0.09183673469387758,0.82,0.0586734693877551
21179,0.86,0.07142857142857144,0.92,0.08673469387755105,0.87,0.061224489795918366
21180,0.96,0.09948979591836732,1.01,0.11224489795918369,0.99,0.08163265306122448
21181,0.92,0.08673469387755105,1.04,0.10969387755102042,0.96,0.08418367346938772
21182,0.89,0.07908163265306124,0.91,0.07908163265306124,0.89,0.06377551020408163
21183,0.96,0.10204081632653059,0.93,0.10459183673469385,0.93,0.08673469387755105
21184,0.97,0.09693877551020405,0.92,0.09948979591836732,0.92,0.08163265306122451
21185,1.03,0.08163265306122448,0.96,0.08928571428571426,0.98,0.0688775510204082
21186,1,0.10714285714285712,1,0.10969387755102039,0.99,0.09693877551020405
21187,0.96,0.09693877551020405,0.93,0.09438775510204078,0.92,0.08163265306122451
21188,0.97,0.08163265306122448,0.96,0.08418367346938772,0.95,0.06632653061224493
21189,1.01,0.10459183673469388,0.96,0.09438775510204078,0.97,0.07908163265306122
21190,0.87,0.09183673469387758,0.94,0.10969387755102039,0.88,0.07653061224489797
21191,0.92,0.06887755102040817,0.99,0.08163265306122448,0.94,0.058673469387755126
21193,0.91,0.08928571428571432,0.92,0.10204081632653059,0.88,0.07142857142857144
21194,0.9,0.0739795918367347,0.93,0.07908163265306124,0.9,0.0586734693877551
21195,0.96,0.07142857142857147,0.98,0.07908163265306122,0.97,0.061224489795918394
21196,0.96,0.09438775510204078,0.97,0.10204081632653059,0.94,0.0739795918367347
21197,0.93,0.07908163265306124,0.98,0.09183673469387756,0.94,0.06377551020408166
21198,0.9,0.07908163265306124,0.97,0.08673469387755099,0.92,0.0663265306122449
21199,0.92,0.07142857142857144,1.03,0.08163265306122448,0.96,0.06377551020408166
21200,0.95,0.07142857142857147,0.97,0.07397959183673473,0.95,0.058673469387755126
21201,0.91,0.08673469387755105,0.99,0.10459183673469385,0.93,0.07653061224489797
21202,0.89,0.08418367346938778,0.94,0.10204081632653059,0.9,0.0663265306122449
21203,0.9,0.06377551020408163,0.93,0.07653061224489797,0.89,0.05357142857142856
21204,0.94,0.08418367346938778,1.02,0.11479591836734696,0.96,0.07142857142857147
21205,0.93,0.08418367346938778,1,0.09948979591836732,0.94,0.0688775510204082
21206,0.95,0.06632653061224493,1.05,0.09693877551020408,0.98,0.058673469387755126
21207,0.97,0.07397959183673468,0.98,0.07653061224489795,0.97,0.058673469387755126
21208,0.88,0.0663265306122449,0.99,0.07653061224489795,0.91,0.05612244897959183
21209,0.91,0.07908163265306124,0.97,0.09183673469387751,0.92,0.06377551020408163
