SA2_code,y.all.male,sd.all.male,y.all.female,sd.all.female,y.all.persons,sd.all.persons
51143,0.96,0.07142857142857147,1,0.06632653061224487,0.97,0.061224489795918394
51144,0.99,0.09183673469387756,0.98,0.07397959183673468,0.97,0.07397959183673473
51145,0.92,0.07908163265306124,1.01,0.07908163265306122,0.98,0.06377551020408166
51146,1.03,0.10204081632653061,0.99,0.09438775510204081,1.02,0.07397959183673468
51147,0.94,0.07142857142857147,0.88,0.06377551020408163,0.88,0.0586734693877551
51148,0.95,0.07653061224489797,0.95,0.061224489795918394,0.94,0.061224489795918394
51149,0.9,0.0969387755102041,0.96,0.08163265306122448,0.92,0.08163265306122451
51150,0.97,0.10459183673469385,0.97,0.07908163265306122,0.98,0.08418367346938775
51152,0.94,0.0739795918367347,0.96,0.07142857142857147,0.94,0.061224489795918394
51153,1.04,0.08928571428571429,0.97,0.07397959183673473,1.03,0.07142857142857141
51154,1,0.07908163265306122,0.98,0.07142857142857141,1.02,0.06122448979591834
51155,0.94,0.10714285714285712,1.03,0.10714285714285715,0.97,0.10459183673469385
51156,0.87,0.08928571428571432,0.95,0.07908163265306124,0.89,0.07908163265306124
51157,0.92,0.10969387755102039,0.94,0.09183673469387751,0.92,0.09183673469387758
51158,0.96,0.10714285714285712,0.95,0.08673469387755099,0.96,0.09183673469387751
51159,0.89,0.07142857142857144,1,0.06632653061224487,0.96,0.058673469387755126
51160,1,0.07653061224489795,0.92,0.06377551020408163,0.96,0.05612244897959186
51161,0.89,0.08673469387755105,0.98,0.07653061224489795,0.94,0.0739795918367347
51162,0.93,0.09948979591836732,1,0.08418367346938775,0.96,0.08673469387755099
51163,0.98,0.10204081632653059,0.99,0.07653061224489795,1.02,0.07653061224489795
51164,0.92,0.0969387755102041,0.95,0.09438775510204078,0.92,0.08418367346938778
51165,0.92,0.0663265306122449,0.98,0.0688775510204082,0.96,0.05612244897959186
51166,0.94,0.06887755102040817,0.94,0.06377551020408166,0.94,0.05357142857142859
51168,0.94,0.08928571428571426,1,0.07653061224489795,0.96,0.07397959183673473
51169,0.97,0.08928571428571426,1.06,0.08418367346938775,0.99,0.08163265306122448
51170,1.01,0.07908163265306122,1.17,0.08418367346938778,1.13,0.07142857142857144
51171,0.98,0.10969387755102039,1.03,0.09948979591836735,1,0.09693877551020408
51172,0.98,0.09183673469387751,1.07,0.08928571428571429,1.03,0.08928571428571429
51173,0.97,0.11479591836734693,1.09,0.10969387755102042,1.04,0.10714285714285715
51174,1.13,0.09183673469387758,1.19,0.10204081632653059,1.21,0.08163265306122446
51175,0.77,0.06887755102040817,0.87,0.07908163265306124,0.79,0.0586734693877551
51176,0.85,0.07653061224489797,0.93,0.07142857142857144,0.87,0.07142857142857144
51177,0.95,0.07142857142857147,0.99,0.07142857142857141,0.98,0.061224489795918394
51178,0.83,0.061224489795918366,0.88,0.05612244897959183,0.83,0.05102040816326529
51179,0.83,0.0663265306122449,0.93,0.0663265306122449,0.87,0.05612244897959183
51180,0.86,0.06377551020408163,0.95,0.061224489795918394,0.9,0.0586734693877551
51181,0.92,0.06887755102040817,0.93,0.06377551020408163,0.93,0.05357142857142859
51182,0.88,0.061224489795918366,0.96,0.058673469387755126,0.92,0.05102040816326532
51183,0.96,0.09183673469387751,1.04,0.08673469387755102,1.06,0.08418367346938775
51184,0.87,0.08673469387755105,0.93,0.0739795918367347,0.88,0.07142857142857144
51185,0.89,0.061224489795918366,1,0.058673469387755126,0.91,0.05612244897959183
51186,0.99,0.07908163265306122,1.02,0.07653061224489795,1.02,0.06632653061224487
51187,0.87,0.07908163265306124,1,0.07653061224489795,0.9,0.06377551020408163
51188,1,0.058673469387755126,1.07,0.0663265306122449,1.05,0.05357142857142856
51189,0.96,0.08418367346938772,1.03,0.07653061224489795,1,0.07908163265306122
